price,bedroom,bathroom,area(sqft),country,city,address,propert_type,purpose,furnishing,completion_status,handover,project_name
"990,900",1 bed,2 baths,714 sqft, UAE, Dubai, Dubai Land Residence Complex,Apartment,Sale,Furnished,Off-Plan,Q1 2027,Coventry Gardens
"525,000",Studio,1 bath,490 sqft, UAE, Dubai, Discovery Gardens,Apartment,Sale,Furnished,Ready,Q1 2027,Coventry Gardens
"2,124,998",2 beds,2 baths,"2,016 sqft", UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Unfurnished,Off-Plan,Q4 2025,Aurora by Binghatti
"545,000",Studio,1 bath,454 sqft, UAE, Dubai, Dubai Sports City,Apartment,Sale,Furnished,Ready,Q4 2025,Giovanni Boutique Suites
"2,800,000",1 bed,2 baths,"1,937 sqft", UAE, Dubai, Jumeirah Village Triangle (JVT),Townhouse,Sale,Unfurnished,Ready,Q4 2025,JVT District 3
"1,250,000",1 bed,2 baths,977 sqft, UAE, Dubai, Culture Village (Jaddaf Waterfront),Apartment,Sale,Unfurnished,Ready,Q4 2025,JVT District 3
"1,550,000",3 beds,3 baths,"1,944 sqft", UAE, Dubai, DAMAC Hills 2 (Akoya by DAMAC),Villa,Sale,Furnished,Ready,Q4 2025,Amazonia
"3,850,000",2 beds,3 baths,"1,493 sqft", UAE, Dubai, Dubai Hills Estate,Apartment,Sale,Unfurnished,Ready,Q4 2025,Amazonia
"2,100,000",1 bed,2 baths,908 sqft, UAE, Dubai, Dubai Hills Estate,Apartment,Sale,Unfurnished,Ready,Q4 2025,Amazonia
"2,650,000",3 beds,4 baths,"2,200 sqft", UAE, Dubai, Town Square,Townhouse,Sale,Unfurnished,Ready,Q4 2025,Safi Townhouses
"7,200,000",2 beds,3 baths,"1,410 sqft", UAE, Dubai, Jumeirah Beach Residence (JBR),Apartment,Sale,Unfurnished,Ready,Q4 2025,La Vie
"2,000,000",2 beds,4 baths,"1,509 sqft", UAE, Dubai, Jumeirah Village Triangle (JVT),Apartment,Sale,Furnished,Ready,Q4 2025,555 PARK VIEWS
"1,157,244",1 bed,1 bath,780 sqft, UAE, Dubai, Dubai Land Residence Complex,Apartment,Sale,Unfurnished,Off-Plan,Q1 2027,Milos by Karma
"565,000",1 bed,2 baths,649 sqft, UAE, Dubai, International City,Apartment,Sale,Unfurnished,Ready,Q1 2027,Milos by Karma
"1,900,000",2 beds,3 baths,"1,395 sqft", UAE, Dubai, Jumeirah Village Triangle (JVT),Apartment,Sale,Unfurnished,Ready,Q1 2027,555 PARK VIEWS
"1,956,000",4 beds,3 baths,"2,352 sqft", UAE, Dubai, DAMAC Hills 2 (Akoya by DAMAC),Townhouse,Sale,Unfurnished,Off-Plan,Q3 2027,Violet 4
"3,364,888",3 beds,4 baths,"2,450 sqft", UAE, Dubai, Dubai South,Townhouse,Sale,Unfurnished,Off-Plan,Q1 2029,Violet 4
"2,121,888",2 beds,3 baths,"1,097 sqft", UAE, Dubai, Expo City,Apartment,Sale,Unfurnished,Off-Plan,Q1 2029,Terra Heights
"1,526,888",1 bed,2 baths,733 sqft, UAE, Dubai, Expo City,Apartment,Sale,Unfurnished,Off-Plan,Q1 2029,Terra Heights
"770,000",Studio,1 bath,403 sqft, UAE, Dubai, Dubai South,Apartment,Sale,Unfurnished,Off-Plan,Q1 2029,Azizi Venice
"1,364,297",1 bed,2 baths,"1,018 sqft", UAE, Dubai, Arjan,Apartment,Sale,Unfurnished,Off-Plan,Q3 2026,Gharbi I Residences
"1,200,000",2 beds,3 baths,"1,367 sqft", UAE, Dubai, Dubai Sports City,Apartment,Sale,Unfurnished,Ready,Q3 2026,Profile Residence
"3,350,000",5 beds,6 baths,"3,468 sqft", UAE, Dubai, DAMAC Lagoons,Townhouse,Sale,Unfurnished,Off-Plan,Q4 2026,Morocco
"1,225,000",1 bed,2 baths,"1,042 sqft", UAE, Dubai, Green Community,Apartment,Sale,Furnished,Ready,Q4 2026,Morocco
"1,594,890",1 bed,1 bath,666 sqft, UAE, Dubai, Ras Al Khor,Apartment,Sale,Unfurnished,Off-Plan,Q4 2026,Sobha One Tower A
"14,900,000",5 beds,6 baths,"7,999 sqft", UAE, Dubai, Umm Suqeim,Villa,Sale,Unfurnished,Ready,Q4 2026,Umm Suqeim 3
"3,900,000",3 beds,4 baths,"3,030 sqft", UAE, Dubai, Dubai South,Villa,Sale,Unfurnished,Off-Plan,Q4 2026,Umm Suqeim 3
"33,000,000",6 beds,8 baths,"12,887 sqft", UAE, Dubai, Tilal Al Ghaf,Villa,Sale,Unfurnished,Off-Plan,Q4 2026,Serenity Mansions
"2,000,000",2 beds,3 baths,"1,370 sqft", UAE, Dubai, Al Furjan,Apartment,Sale,Unfurnished,Off-Plan,Q1 2026,ZaZEN Ivy
"12,500,000",5 beds,6 baths,"9,328 sqft", UAE, Dubai, Dubailand,Villa,Sale,Unfurnished,Off-Plan,Q4 2027,Haven by Aldar
"2,350,000",1 bed,1 bath,704 sqft, UAE, Dubai, Dubai Islands,Apartment,Sale,Furnished,Off-Plan,Q2 2026,Villa del DIVOS
"1,999,999",2 beds,2 baths,"1,040 sqft", UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Furnished,Off-Plan,Q2 2026,PRUDENTIAL TOWERS
"3,620,888",3 beds,3 baths,"2,450 sqft", UAE, Dubai, Dubai South,Townhouse,Sale,Unfurnished,Off-Plan,Q1 2029,PRUDENTIAL TOWERS
"3,530,888",3 beds,3 baths,"2,418 sqft", UAE, Dubai, Dubai South,Townhouse,Sale,Unfurnished,Off-Plan,Q1 2029,PRUDENTIAL TOWERS
"257,092",Studio,1 bath,465 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Unfurnished,Ready,Q1 2029,PRUDENTIAL TOWERS
"1,559,000",Studio,1 bath,404 sqft, UAE, Dubai, Business Bay,Apartment,Sale,Furnished,Off-Plan,Q4 2029,Bayz 102 by Danube
"1,700,000",2 beds,2 baths,"1,042 sqft", UAE, Dubai, Dubai Science Park,Apartment,Sale,Furnished,Off-Plan,Q3 2027,Opalz by Danube
"550,000",1 bed,2 baths,616 sqft, UAE, Dubai, International City,Apartment,Sale,Unfurnished,Ready,Q3 2027,Opalz by Danube
"2,600,000",4 beds,3 baths,"2,078 sqft", UAE, Dubai, DAMAC Lagoons,Townhouse,Sale,Unfurnished,Off-Plan,Q3 2025,Costa Brava
"4,950,000",3 beds,4 baths,"1,857 sqft", UAE, Dubai, Dubai Hills Estate,Apartment,Sale,Unfurnished,Off-Plan,Q1 2027,Golf Grand
"4,650,000",2 beds,2 baths,"1,255 sqft", UAE, Dubai, Downtown Dubai,Apartment,Sale,Furnished,Ready,Q1 2027,Golf Grand
"2,984,888",3 beds,3 baths,"1,570 sqft", UAE, Dubai, Dubai South,Apartment,Sale,Unfurnished,Off-Plan,Q3 2029,Golf Grand
"982,664",3 beds,2 baths,"1,496 sqft", UAE, Dubai, Remraam,Apartment,Sale,Unfurnished,Ready,Q3 2029,Golf Grand
"1,189,000",1 bed,1 bath,626 sqft, UAE, Dubai, Dubai Silicon Oasis (DSO),Apartment,Sale,Furnished,Off-Plan,Q3 2028,Timez By Danube
"1,100,000",1 bed,1 bath,734 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Unfurnished,Off-Plan,Q3 2028,Timez By Danube
"7,615,888",3 beds,3 baths,"3,858 sqft", UAE, Dubai, Dubai Hills Estate,Apartment,Sale,Furnished,Off-Plan,Q3 2028,Parkwood
"2,700,000",1 bed,2 baths,978 sqft, UAE, Dubai, Al Barari,Apartment,Sale,Furnished,Ready,Q3 2028,The Neighbourhood
"822,000",1 bed,2 baths,715 sqft, UAE, Dubai, Dubai Land Residence Complex,Apartment,Sale,Unfurnished,Off-Plan,Q4 2028,AG Ark Tower
"854,000",Studio,1 bath,448 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Unfurnished,Off-Plan,Q2 2026,Ozone1 Residence
"12,000,000",5 beds,6 baths,"10,635 sqft", UAE, Dubai, Al Barsha,Villa,Sale,Unfurnished,Ready,Q2 2026,Al Barsha 3
"1,169,000",1 bed,2 baths,800 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Unfurnished,Off-Plan,Q3 2026,The F1fth
"1,499,000",1 bed,2 baths,"1,070 sqft", UAE, Dubai, Jumeirah Village Triangle (JVT),Apartment,Sale,Furnished,Off-Plan,Q4 2026,Volga
"2,948,888",3 beds,4 baths,"2,457 sqft", UAE, Dubai, The Valley by Emaar,Townhouse,Sale,Unfurnished,Off-Plan,Q3 2028,Velora 2
"1,610,888",1 bed,1 bath,686 sqft, UAE, Dubai, Dubai Creek Harbour,Apartment,Sale,Unfurnished,Off-Plan,Q4 2026,Moor at Creek Beach
"6,360,888",2 beds,2 baths,"1,459 sqft", UAE, Dubai, Dubai Harbour,Apartment,Sale,Unfurnished,Off-Plan,Q3 2029,The Bristol Emaar Beachfront
"3,789,000",3 beds,4 baths,"1,980 sqft", UAE, Dubai, Dubailand,Apartment,Sale,Unfurnished,Off-Plan,Q3 2027,Ghaf Woods
"2,893,888",3 beds,3 baths,"1,571 sqft", UAE, Dubai, Dubai South,Apartment,Sale,Unfurnished,Off-Plan,Q3 2029,Ghaf Woods
"10,380,888",3 beds,3 baths,"1,912 sqft", UAE, Dubai, Dubai Harbour,Apartment,Sale,Unfurnished,Off-Plan,Q3 2029,The Bristol Emaar Beachfront
"849,000",1 bed,2 baths,738 sqft, UAE, Dubai, Dubai Land Residence Complex,Apartment,Sale,Unfurnished,Off-Plan,Q4 2028,AG Ark Tower
"2,890,888",3 beds,3 baths,"2,417 sqft", UAE, Dubai, The Valley by Emaar,Townhouse,Sale,Unfurnished,Off-Plan,Q4 2028,Elva
"3,299,000",3 beds,4 baths,"2,200 sqft", UAE, Dubai, Jumeirah Village Triangle (JVT),Apartment,Sale,Furnished,Off-Plan,Q4 2026,Volga
"3,000,888",2 beds,2 baths,"1,285 sqft", UAE, Dubai, Mina Rashid,Apartment,Sale,Unfurnished,Off-Plan,Q4 2028,Porto View
"15,800,888",5 beds,5 baths,"10,225 sqft", UAE, Dubai, The Oasis by Emaar,Villa,Sale,Unfurnished,Off-Plan,Q2 2028,Mirage The Oasis
"2,399,000",2 beds,3 baths,"1,510 sqft", UAE, Dubai, Jumeirah Village Triangle (JVT),Apartment,Sale,Furnished,Off-Plan,Q4 2026,Volga
"2,100,000",1 bed,2 baths,822 sqft, UAE, Dubai, Mina Rashid,Townhouse,Sale,Unfurnished,Off-Plan,Q4 2027,Bayline
"1,395,000",2 beds,3 baths,"1,447 sqft", UAE, Dubai, Dubai Land Residence Complex,Apartment,Sale,Unfurnished,Off-Plan,Q4 2027,The Boulevard by Prestige One
"18,975,000",6 beds,10 baths,"7,677 sqft", UAE, Dubai, Palm Jebel Ali,Villa,Sale,Unfurnished,Off-Plan,Q4 2027,Frond A
"1,496,888",1 bed,1 bath,734 sqft, UAE, Dubai, Expo City,Apartment,Sale,Unfurnished,Off-Plan,Q1 2029,Terra Heights Building 4
"1,622,000",2 beds,3 baths,"1,260 sqft", UAE, Dubai, Dubai Production City (IMPZ),Apartment,Sale,Unfurnished,Off-Plan,Q4 2027,Samana Lake Views 2
"2,772,000",2 beds,2 baths,"1,017 sqft", UAE, Dubai, Al Wasl,Apartment,Sale,Unfurnished,Off-Plan,Q4 2029,Safa Gate
"1,800,000",2 beds,3 baths,"1,372 sqft", UAE, Dubai, Al Jaddaf,Apartment,Sale,Unfurnished,Off-Plan,Q4 2029,Safa Gate
"1,750,888",1 bed,1 bath,727 sqft, UAE, Dubai, Dubai Hills Estate,Apartment,Sale,Unfurnished,Off-Plan,Q4 2029,Parkwood
"1,091,721",1 bed,2 baths,802 sqft, UAE, Dubai, Dubai Land Residence Complex,Apartment,Sale,Unfurnished,Off-Plan,Q3 2028,Peace Lagoons by Peace Homes
"1,090,000",1 bed,2 baths,805 sqft, UAE, Dubai, Dubai Land Residence Complex,Apartment,Sale,Unfurnished,Off-Plan,Q3 2028,Peace Lagoons by Peace Homes
"1,090,000",1 bed,2 baths,805 sqft, UAE, Dubai, Dubai Land Residence Complex,Apartment,Sale,Unfurnished,Off-Plan,Q3 2028,Peace Lagoons by Peace Homes
"2,399,000",2 beds,3 baths,"1,250 sqft", UAE, Dubai, Dubailand,Apartment,Sale,Unfurnished,Off-Plan,Q3 2027,Ghaf Woods
"858,000",1 bed,2 baths,746 sqft, UAE, Dubai, Dubai Land Residence Complex,Apartment,Sale,Unfurnished,Off-Plan,Q4 2028,AG Ark Tower
"849,000",1 bed,2 baths,746 sqft, UAE, Dubai, Dubai Land Residence Complex,Apartment,Sale,Unfurnished,Off-Plan,Q4 2028,AG Ark Tower
"15,894,000",3 beds,4 baths,"3,125 sqft", UAE, Dubai, Al Wasl,Apartment,Sale,Unfurnished,Off-Plan,Q4 2029,Safa Gate
"825,000",1 bed,2 baths,718 sqft, UAE, Dubai, Dubai Land Residence Complex,Apartment,Sale,Unfurnished,Off-Plan,Q4 2028,AG Ark Tower
"1,499,000",1 bed,2 baths,850 sqft, UAE, Dubai, Dubailand,Apartment,Sale,Unfurnished,Off-Plan,Q3 2027,Ghaf Woods
"1,076,598",1 bed,1 bath,746 sqft, UAE, Dubai, Dubai Sports City,Apartment,Sale,Furnished,Off-Plan,Q2 2027,Vega
"1,601,423",2 beds,2 baths,"1,097 sqft", UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Furnished,Off-Plan,Q2 2027,Electra
"1,526,730",1 bed,1 bath,885 sqft, UAE, Dubai, Al Furjan,Apartment,Sale,Unfurnished,Off-Plan,Q4 2027,Avenue Residence 7
"1,954,122",4 beds,4 baths,"2,352 sqft", UAE, Dubai, DAMAC Hills 2 (Akoya by DAMAC),Townhouse,Sale,Unfurnished,Off-Plan,Q3 2027,Violet 4
"2,080,495",2 beds,2 baths,"1,489 sqft", UAE, Dubai, Al Furjan,Apartment,Sale,Unfurnished,Off-Plan,Q4 2027,Avenue Residence 7
"1,416,521",1 bed,1 bath,890 sqft, UAE, Dubai, Al Furjan,Apartment,Sale,Unfurnished,Off-Plan,Q4 2027,Avenue Residence 7
"1,954,120",4 beds,4 baths,"2,352 sqft", UAE, Dubai, DAMAC Hills 2 (Akoya by DAMAC),Townhouse,Sale,Unfurnished,Off-Plan,Q3 2027,Violet 4
"1,918,840",4 beds,4 baths,"2,352 sqft", UAE, Dubai, DAMAC Hills 2 (Akoya by DAMAC),Townhouse,Sale,Unfurnished,Off-Plan,Q3 2027,Violet 4
"3,735,760",5 beds,5 baths,"3,324 sqft", UAE, Dubai, Dubailand,Townhouse,Sale,Unfurnished,Off-Plan,Q1 2028,DAMAC Sun City
"3,730,862",5 beds,5 baths,"3,324 sqft", UAE, Dubai, Dubailand,Townhouse,Sale,Unfurnished,Off-Plan,Q1 2028,DAMAC Sun City
"3,730,860",5 beds,5 baths,"3,324 sqft", UAE, Dubai, Dubailand,Townhouse,Sale,Unfurnished,Off-Plan,Q1 2028,DAMAC Sun City
"4,018,000",1 bed,1 bath,"1,095 sqft", UAE, Dubai, Dubai Marina,Apartment,Sale,Furnished,Off-Plan,Q1 2028,Rove Home Dubai Marina
"1,590,939",2 beds,2 baths,"1,098 sqft", UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Furnished,Off-Plan,Q2 2027,Electra
"1,270,856",2 beds,2 baths,951 sqft, UAE, Dubai, Dubai Production City (IMPZ),Apartment,Sale,Unfurnished,Off-Plan,Q4 2025,Viera Residences
"1,116,096",1 bed,1 bath,817 sqft, UAE, Dubai, Dubai Production City (IMPZ),Apartment,Sale,Unfurnished,Off-Plan,Q4 2025,Viera Residences
"1,060,939",1 bed,1 bath,773 sqft, UAE, Dubai, Dubai Production City (IMPZ),Apartment,Sale,Unfurnished,Off-Plan,Q4 2025,Viera Residences
"8,233,960",3 beds,3 baths,"2,105 sqft", UAE, Dubai, Dubai Harbour,Apartment,Sale,Unfurnished,Off-Plan,Q4 2025,DAMAC Bay 2 by Cavalli
"8,605,380",3 beds,3 baths,"2,111 sqft", UAE, Dubai, Dubai Harbour,Apartment,Sale,Unfurnished,Off-Plan,Q4 2025,DAMAC Bay 2 by Cavalli
"2,200,000",1 bed,1 bath,742 sqft, UAE, Dubai, Dubai Creek Harbour,Apartment,Sale,Unfurnished,Off-Plan,Q1 2029,Palace Residences Creek Blue
"750,000",1 bed,1 bath,552 sqft, UAE, Dubai, DAMAC Hills 2 (Akoya by DAMAC),Apartment,Sale,Unfurnished,Off-Plan,Q4 2026,ELO
"1,800,000",1 bed,1 bath,644 sqft, UAE, Dubai, Dubai Creek Harbour,Apartment,Sale,Unfurnished,Ready,Q4 2026,Creek Palace
"2,252,200",2 beds,3 baths,"1,280 sqft", UAE, Dubai, Al Satwa,Apartment,Sale,Furnished,Ready,Q4 2026,Creek Palace
"750,000",1 bed,2 baths,910 sqft, UAE, Dubai, Discovery Gardens,Apartment,Sale,Furnished,Ready,Q4 2026,Creek Palace
"1,279,534",1 bed,1 bath,893 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Furnished,Off-Plan,Q2 2027,Electra
"1,570,000",Studio,1 bath,549 sqft, UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q2 2027,Trillionaire Residences by Binghatti
"3,200,000",3 beds,4 baths,"1,879 sqft", UAE, Dubai, Mudon,Townhouse,Sale,Unfurnished,Off-Plan,Q4 2025,Trillionaire Residences by Binghatti
"699,999",Studio,1 bath,479 sqft, UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q4 2025,Safeer Tower 2
"16,999,999",5 beds,6 baths,"5,890 sqft", UAE, Dubai, Arabian Ranches,Villa,Sale,Unfurnished,Ready,Q4 2025,Aseel
"1,330,000",1 bed,2 baths,826 sqft, UAE, Dubai, Al Sufouh,Apartment,Sale,Unfurnished,Ready,Q4 2025,Aseel
"1,279,710",1 bed,1 bath,893 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Furnished,Off-Plan,Q2 2027,Electra
"765,944",Studio,1 bath,452 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Furnished,Off-Plan,Q2 2027,Electra
"2,920,393",3 beds,3 baths,"2,018 sqft", UAE, Dubai, Al Furjan,Apartment,Sale,Unfurnished,Off-Plan,Q4 2027,Avenue Residence 7
"869,286",Studio,1 bath,518 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Furnished,Off-Plan,Q2 2027,Electra
"2,712,568",3 beds,3 baths,"2,037 sqft", UAE, Dubai, Al Furjan,Apartment,Sale,Unfurnished,Off-Plan,Q4 2027,Avenue Residence 7
"2,101,341",2 beds,2 baths,"1,489 sqft", UAE, Dubai, Al Furjan,Apartment,Sale,Unfurnished,Off-Plan,Q4 2027,Avenue Residence 7
"3,049,777",3 beds,5 baths,"2,600 sqft", UAE, Dubai, Liwan,Apartment,Sale,Unfurnished,Off-Plan,Q2 2028,Empire Lake Views
"8,200,000",3 beds,3 baths,"2,186 sqft", UAE, Dubai, Umm Suqeim,Apartment,Sale,Unfurnished,Off-Plan,Q2 2026,Jomana 8
"5,500,000",2 beds,3 baths,"2,518 sqft", UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q2 2026,Terraces Marasi Drive
"647,000",Studio,1 bath,499 sqft, UAE, Dubai, Business Bay,Apartment,Sale,Furnished,Ready,Q2 2026,Terraces Marasi Drive
"4,900,000",2 beds,3 baths,"2,103 sqft", UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q2 2026,Terraces Marasi Drive
"5,200,000",2 beds,3 baths,"2,142 sqft", UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q2 2026,Terraces Marasi Drive
"4,350,000",2 beds,3 baths,"2,290 sqft", UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q2 2026,Terraces Marasi Drive
"1,742,768",1 bed,2 baths,912 sqft, UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Off-Plan,Q1 2029,Tiger Sky Tower
"3,300,000",3 beds,3 baths,"2,241 sqft", UAE, Dubai, Arabian Ranches 3,Townhouse,Sale,Unfurnished,Ready,Q1 2029,Bliss
"1,950,000",1 bed,2 baths,918 sqft, UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q1 2029,SOL Bay
"1,025,000",1 bed,2 baths,689 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Furnished,Ready,Q1 2029,SOL Bay
"1,250,000",2 beds,2 baths,"1,310 sqft", UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Furnished,Ready,Q1 2029,SOL Bay
"900,000",Studio,1 bath,389 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Unfurnished,Ready,Q1 2029,SOL Bay
"850,000",1 bed,2 baths,"1,522 sqft", UAE, Dubai, Dubai Sports City,Apartment,Sale,Unfurnished,Ready,Q1 2029,Canal Residence West
"700,000",Studio,1 bath,363 sqft, UAE, Dubai, Jumeirah Lake Towers (JLT),Apartment,Sale,Furnished,Ready,Q1 2029,Canal Residence West
"4,173,191",3 beds,3 baths,"2,466 sqft", UAE, Dubai, Dubai Marina,Apartment,Sale,Unfurnished,Ready,Q1 2029,Marina Arcade Tower
"1,650,000",1 bed,2 baths,830 sqft, UAE, Dubai, Business Bay,Apartment,Sale,Furnished,Ready,Q1 2029,Nobles Tower
"975,000",Studio,1 bath,370 sqft, UAE, Dubai, Dubai Marina,Apartment,Sale,Unfurnished,Ready,Q1 2029,Zumurud Tower
"2,704,455",1 bed,2 baths,"1,173 sqft", UAE, Dubai, Dubai Marina,Apartment,Sale,Unfurnished,Off-Plan,Q2 2028,Kempinski Residences Marina
"1,100,000",Studio,1 bath,620 sqft, UAE, Dubai, Jumeirah Lake Towers (JLT),Apartment,Sale,Furnished,Ready,Q2 2028,Kempinski Residences Marina
"2,704,225",1 bed,2 baths,"1,174 sqft", UAE, Dubai, Dubai Marina,Apartment,Sale,Unfurnished,Off-Plan,Q2 2028,Kempinski Residences Marina
"1,629,999",2 beds,3 baths,"1,320 sqft", UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Unfurnished,Ready,Q2 2028,Kempinski Residences Marina
"2,697,533",1 bed,2 baths,"1,173 sqft", UAE, Dubai, Dubai Marina,Apartment,Sale,Unfurnished,Off-Plan,Q2 2028,Kempinski Residences Marina
"880,000",Studio,1 bath,375 sqft, UAE, Dubai, Palm Jumeirah,Apartment,Sale,Furnished,Ready,Q2 2028,Dukes The Palm
"4,550,000",3 beds,4 baths,"2,562 sqft", UAE, Dubai, Jebel Ali,Townhouse,Sale,Unfurnished,Off-Plan,Q4 2025,Jebel Ali Village
"1,866,000",1 bed,2 baths,830 sqft, UAE, Dubai, Jumeirah Islands,Apartment,Sale,Unfurnished,Off-Plan,Q4 2028,SERENIA DISTRICT - WEST
"6,552,000",3 beds,4 baths,"2,650 sqft", UAE, Dubai, Jumeirah Islands,Apartment,Sale,Unfurnished,Off-Plan,Q4 2028,SERENIA DISTRICT - WEST
"6,505,000",3 beds,4 baths,"2,642 sqft", UAE, Dubai, Jumeirah Islands,Apartment,Sale,Unfurnished,Off-Plan,Q4 2028,SERENIA DISTRICT - WEST
"2,300,000",2 beds,3 baths,897 sqft, UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q4 2028,SERENIA DISTRICT - WEST
"4,100,000",Studio,1 bath,712 sqft, UAE, Dubai, Jumeirah Beach Residence (JBR),Apartment,Sale,Furnished,Ready,Q4 2028,FIVE Luxe
"2,600,000",2 beds,3 baths,"1,770 sqft", UAE, Dubai, Mudon,Townhouse,Sale,Unfurnished,Ready,Q4 2028,FIVE Luxe
